,model,price,score,processor,no of cores,storage,ram,display,os,warranty
192,HP EliteBook 840 G6 (8LX79PA) Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10),"₹90,464",,8th Gen Intel Core i5 8265U,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 10 OS,3 Year Warranty
193,HP Envy x360 15-ew0048TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,09,990",73,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",1 TB SSD,16 GB DDR4 RAM,"15.6 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
194,Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹56,490",62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
195,Infinix Zero Book Series ZL12 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win 11 Home),"₹64,490",63,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",512 GB SSD,16 GB LPDDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows OS,1 Year Warranty
196,Dell G15-5521 D560897WIN9S Gaming Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),"₹1,38,990",71,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB LPDDR5 RAM,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
197,Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹67,500",61,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
198,Microsoft Surface Pro 9 QEZ-00065 Laptop (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹99,999",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",256 GB SSD,8 GB LPDDR5 RAM,"13 inches, 2880 x 1920 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
199,HP Victus 15-fb0082AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹71,990",72,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
200,Acer One 14 Z2-493 Business Laptop (AMD Ryzen 5 3500U/ 16GB/ 512GB SSD/ Win11),"₹39,990",,3rd Gen AMD Ryzen 5 3500U,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
201,Dell Inspiron 5320 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹76,990",66,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR5 RAM,"13.3 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
202,Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming Laptop (AMD Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹89,990",75,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
203,MSI Pulse GL66 12UEK-898IN Gaming Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,25,990",75,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR4 RAM,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,2 Year Warranty
204,Lenovo IdeaPad Slim 3 81X800LCIN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),"₹34,490",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
205,Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,98,490",88,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR5 RAM,"16 inches, 3840 x 2400 pixels",Windows 11 OS,1 Year Warranty
206,MSI Bravo 15 B5DD-410IN Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹49,990",68,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
207,Lenovo Ideapad Slim 3 82H802KVIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹53,209",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
208,Infinix INBook X1 Neo Laptop ( Celeron N5100/ 4GB/ 128GB SSD/ Win 11 Home),"₹20,990",,Intel Celeron  N5100,Quad Core,128 GB SSD,4 GB LPDDR4X RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
209,Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
210,Acer Aspire 3 A315-23 UN.HVTSI.013 Laptop (Ryzen 3 3250U/ 8GB/ 256GB SSD/ Win11 Home),"₹26,990",,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
211,HP 15s-eq1560AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 512GB SSD/ Win11 Home),"₹37,990",61,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
212,Dell Vostro 5625 laptop (Ryzen 5-5625U/ 8GB/ 512GB SSD/ Windows 11),"₹52,290",71,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
213,HP Pavilion 14-eh0024TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win 11),"₹93,029",74,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR4 RAM,"14 inches, 2880 x 1800 pixels",Windows 11 OS,1 Year Warranty
214,Lenovo IdeaPad Slim 3 82H701DNIN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
215,Asus ZenBook Pro Duo 15 OLED 2022 UX582ZM-H701WS Laptop (12th Gen Core i7/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,99,990",,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB DDR4 RAM,"15.6 inches, 3840 x 2160 pixels, Touch Screen",Windows 11 OS,2 Year Warranty
216,HP Victus 15-fa0354TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹96,099",63,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
217,Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop (12th Gen Core i5/ 16GB/512GB SSD/ Win11 / 4GB Graph),"₹81,990",67,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,16 GB DDR5 RAM,"15.6 inches, 1080 x 1920 pixels",Windows 11 OS,1 Year Warranty
218,Lenovo IdeaPad Slim 3 82RK006DIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,026",,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
219,HP Victus 16-e0650AX Gaming Laptop (AMD Ryzen 7 5800H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹68,499",74,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
220,Acer Nitro 5 AN515-56 Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹62,990",73,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
221,Asus VivoBook 14 2022 X1402ZA-EB311WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹47,990",60,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
222,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),"₹66,990",72,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
223,HP Pavilion 15-eg2036TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹69,990",63,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
224,Asus TUF Gaming A15 FA506ICB-HN005W Laptop (Ryzen 7 4800H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹69,990",68,4th Gen AMD Ryzen 7 4800H ,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
225,Asus Vivobook 15 Touch X515EA-EZ311WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹41,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
226,Asus TUF Gaming F15 FX577ZM-HQ067WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹1,22,990",81,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR5 RAM,"15.6 inches, 2560 x 1440 pixels",Windows 11 OS,1 Year Warranty
227,Acer Aspire Vero AV15-51-5155 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹49,990",66,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
228,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB/ MacOS),"₹1,31,990",,Apple M2 Apple M2 Chip,Octa Core,512 GB SSD,8 GB Unified Memory RAM,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
229,Asus TUF Gaming F15 FA506IHRB-HN079W Gaming Laptop (AMD Ryzen 5 4600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹54,790",72,4th Gen AMD Ryzen 5 4600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
230,Samsung Galaxy Book2 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/4GB Graph),"₹79,990",63,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,8 GB LPDDR4x RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
231,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹61,990",60,12th Gen Intel Core i5 1235U ,"10 Cores, 12 Threads",512 GB SSD,8 GB LPDDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
232,Lenovo IdeaPad 3 81WQ00MQIN Laptop (Celeron N4020/ 8GB/ 256GB/ Win11),"₹27,142",,Intel Celeron  N4020 ,"Dual Core, 2 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
233,Dell G15-5520 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹84,990",67,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
234,HP Pavilion 15-EG2035TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹71,999",67,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
235,Acer Nitro 5 AN515-58 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹77,559",69,12th Gen Intel Core i5 12500H ,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
236,Asus TUF Gaming A15 2021 FA506QM-HN124W Laptop (Ryzen 9 5900HX/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹98,490",75,5th Gen AMD Ryzen 9 5900HX,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
237,Dell Vostro 5625 laptop (Ryzen 5-5625U/ 16GB/ 512GB SSD/ Windows 11),"₹62,490",72,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
238,Samsung Galaxy Book Go Laptop (Snapdragon 7c/ 4GB/ 128GB/ Win11 Home),"₹32,990",,2nd Gen Qualcomm Snapdragon 7c,4 GB LPDDR4x  RAM,Qualcomm Adreno,128 GB Hard Disk,Windows 11 OS,1 Year Warranty,
239,Dell Vostro 3400 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 2GB Graph),"₹58,990",66,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
240,Lenovo IdeaPad 3 15ITL6 82H801L3IN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹36,400",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",256 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
241,Xiaomi Mi Notebook Ultra Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win10),"₹62,899",66,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 3200 x 2000 pixels",Windows 10  OS,1 Year Warranty
242,MSI Bravo 15 B5DD-043IN Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win10 Home/ 4GB Graph),"₹58,500",69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
243,Lenovo IdeaPad 3 15ITL6 82H8014BIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),"₹56,000",61,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
244,Acer Extensa EX215-31 Laptop (Intel Pentium N5030/ 4GB/ 1TB HDD/ Win10),"₹22,750",,Intel Pentium Silver N5030 ,"Quad Core, 4 Threads",1 TB Hard Disk,4 GB  RAM,"15.6 inches, 768 x 1366 pixels",Windows 10  OS,1 Year Warranty
245,Microsoft Surface Laptop Go 1943 THJ-00023 Laptop (10th Gen Core i5/ 8GB/ 256GB SSD/ Win10 Home),"₹67,000",,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",256 GB SSD,8 GB DDR4 RAM,"12.4 inches, 1536 x 1024 pixels, Touch Screen",Windows 10 OS,1 Year Warranty
246,Dell Precision 5550 Laptop (10th Gen Core i7/ 16GB/ 512GB SSD/ Win10 Pro/ 4GB Graph),"₹1,84,999",71,10th Gen Intel Core i7 10750H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4  RAM,"15.6 inches, 1920 x 1200 pixels",Windows 10 OS,Backlit Keyboard
247,Apple MacBook Pro 14 inch Laptop (M2 Pro 10-core CPU/ 16GB/ 512GB SSD/ Mac OS/ 16-core GPU),"₹1,99,900",,Apple M2 Pro M2 Pro,10 Cores,512 GB SSD,16 GB Unified Memory RAM,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
248,Lenovo Yoga 9i 83B1002GIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹1,74,990",78,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",1 TB SSD,16 GB LPDDR5 RAM,"14 inches, 3840 x 2400 pixels, Touch Screen",Windows 11 OS,3 Year Warranty
249,Chuwi CoreBook X Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹33,990",,12th Gen Intel ‎Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 2160 x 1440 pixels",Windows 11 OS,1 Year Warranty
250,Asus Vivobook 15 X1502ZA-EJ381WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹42,990",,12th Gen Intel Core i3 1220P,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
251,HP Envy x360 15-ew0037TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹82,999",72,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
252,Dell G15-5520 D560897WIN9S Laptop (12th Gen Core i9/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,49,899",78,12th Gen Intel Core i9 12900H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
253,HP 255 G8 Business Laptop (Athlon 3050U/ 8GB/ 1TB HDD/ Win11),"₹27,499",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",1 TB Hard Disk,8 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
254,Lenovo E41-55 82FJ00ALIH Laptop (Athlon 3150U/ 4GB/ 1TB HDD/ DOS),"₹18,990",,3rd Gen AMD Athlon  3150U,"Dual Core, 2 Threads",1 TB Hard Disk,4 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
255,MSI Katana GF66 12UC-632IN Gaming Laptop (12th Gen Core i7/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹81,990",73,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
256,Dell Inspiron 5620 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 2GB Graph),"₹98,450",69,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
257,Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop (Ryzen 7 4800H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹82,990",69,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
258,HP Pavilion 14-dv2014TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),"₹69,858",65,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
259,Lenovo Ideapad Slim 3 81WD014XIN Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win11),"₹31,990",,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",256 GB SSD,4 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
260,Asus VivoBook 14 X415EA-EK522WS Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹49,990",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
261,Asus Vivobook 16X M1603QA-MB512WS Laptop (Ryzen 5-5600H/ 16GB/ 512GB SSD/ Win11 Home),"₹54,980",68,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",512 GB SSD,16 GB DDR4 RAM,"16 inches, 1200 x 1920 pixels",Windows 11 OS,1 Year Warranty
262,Dell Latitude 3430 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Pro),"₹1,08,000",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,8 GB DDR4 RAM,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
263,Lenovo Legion 5 Pro 82RF00E1IN Gaming Laptop (12th Gen Core i7/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹2,18,110",,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,32 GB DDR5 RAM,"16 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
264,Xiaomi Book Air 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹68,990",66,12th Gen Intel Core i5 1230U,"10 Cores, 12 Threads",512 GB SSD,16 GB LPDDR5 RAM,"13.3 inches, 2880 x 1800 pixels, Touch Screen",Windows 11 OS,Backlit Keyboard
265,Dell Inspiron 5420 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹79,490",,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB  RAM,"14 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
266,HP Pavilion 15-eg2018TX Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 2GB Graph),"₹59,175",,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
267,Microsoft Surface Laptop 5 13.5 inch (12th Gen Core i5/ 8GB/ 256GB SSD/ Win11),"₹98,990",,12th Gen Intel  Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",256 GB SSD,8 GB  RAM,"13.5 inches, 2256 x 1504 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
268,Infinix INBook X2 Plus XL25 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),"₹33,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",512 GB SSD,8 GB LPDDR4X RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
269,HP Omen 17-ck1023TX Gaming Laptop (12th Gen Core i9/ 32GB/ 2TB SSD/ Win11/ 16GB Graph),"₹3,09,990",85,12th Gen Intel Core i9 12900HX,"16 Cores (8P + 8E), 24 Threads",2 TB SSD,32 GB DDR5 RAM,"16.1 inches, 2560 x 1440 pixels",Windows 11  OS,1 Year Warranty
270,Lenovo Legion 5 82RB00K8IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,41,990",86,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB DDR5 RAM,"15.6 inches, 2560 x 1600 pixels",Windows 11 OS,1 Year Warranty
271,Lenovo IdeaPad Gaming 3 82K201YAIN Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹51,018",69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
272,Asus TUF F15 FA507RE-HN043WS 2022 Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),"₹89,990",79,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",512 GB SSD,16 GB DDR5 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
273,Lenovo E41-55 AMD Laptop (Athlon Pro 3045B/ 8GB/ 1TB HDD/ Win11),"₹22,999",,AMD Athlon Pro 3045B,"Dual Core, 2 Threads",1 TB Hard Disk,8 GB  RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
274,Honor MagicBook X 14 2022 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹52,999",65,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB LPDDR4x RAM,"14 inches, 2240 x 1400 pixels",Windows 11 OS,1 Year Warranty
275,Honor MagicBook X 16 2022 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹52,999",63,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",512 GB SSD,16 GB LPDDR4x RAM,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
