,brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
27,asus,Asus Vivobook 16X 2022 M1603QA-MB511WS ,54490,67.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,16.0, 1920 x 1200 ,Windows 11 ,1.0
28,asus,Asus Vivobook Pro 15 OLED M6500QH-HN701WS ,65990,68.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
29,dell,Dell Inspiron 3511 ,58490,65.0,Intel,i5,11.0,4,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 10 ,
30,asus,Asus Vivobook S15 OLED K3502ZA-L501WS ,67490,65.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
31,primebook,Primebook 4G Android ,16990,,MediaTek,kompanio,,8,4.0,4 ,LPDDR4,Hard Disk,64.0,11.6, 1366 x 768 ,Android 11 ,1.0
32,lenovo,Lenovo V15 82KDA00XIH ,38799,,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
33,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101B6IN ,52890,69.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
34,hp,HP 15s-FR2511TU ,40990,60.0,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
35,msi,MSI Thin GF63 11SC-853IN Gaming ,49990,71.0,Intel,i5,11.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,2.0
36,hp,HP 15s-eq2144au ,45729,61.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
37,hp,HP Victus 15-fa0165TX ,68200,73.0,Intel,i5,12.0,8,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
38,asus,Asus VivoBook 14 X415JA-BV301WS ,28990,,Intel,i3,10.0,2,8.0,8 ,RAM,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
39,hp,HP 245 G8 62G68PA ,27999,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
40,asus,Asus Vivobook Pro 15 OLED M3500QC-L1502WS Gaming ,69490,67.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
41,hp,HP Pavilion 15s-eq2182AU ,50490,63.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
42,hp,HP Pavilion 15-eg2009TU ,63490,62.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
43,jio,Jio JioBook NB1112MM Notebook,21999,,MediaTek,mt8788,,8,2.0,2 ,RAM,Hard Disk,64.0,14.0, 1366 x 768 ,Android 11 ,1.0
44,asus,Asus Vivobook Pro 15 OLED K6502HCB-LP901WS Gaming ,94280,69.0,Intel,i9,11.0,8,16.0,16 ,RAM,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
45,dell,Dell Inspiron 3520 ,55111,,Intel,i5,12.0,10,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
46,dell,Dell Inspiron 5320 ,84918,65.0,Intel,i7,12.0,12,16.0,16 ,DDR5,SSD,512.0,13.3, 1920 x 1080 ,Windows 11 ,1.0
47,hp,HP Pavilion x360 14-ek0074TU ,73490,68.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
48,hp,HP Victus 15-fb0040AX Gaming ,59990,72.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
49,hp,HP 14s-dy5005TU ,58899,,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
50,lenovo,Lenovo IdeaPad Slim 1 82R10049IN ,33019,60.0,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
51,i-life,i-Life ZED ZED Book Grin ,8900,,Intel,atom,,4,2.0,2 ,DDR3,Hard Disk,,,,Windows 10 ,1.0
52,hp,HP 15s- eq2212AU ,37950,,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
53,infinix,Infinix Zero Book Ultra ,79490,65.0,Intel,i9,12.0,14,16.0,16 ,LPDDR5,SSD,512.0,,,Windows 11 ,
54,dell,Dell Inspiron 3520 D560869WIN9B ,47990,65.0,Intel,i3,12.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
55,acer,Acer One 14 Z2-493 ,20990,,AMD,ryzen,3.0,2,4.0,4 ,DDR4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
56,hp,HP Victus 16-e0352AX Gaming ,63990,72.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,16.1, 1920 x 1080 ,Windows 11 ,1.0
57,apple,Apple MacBook Air 2022 ,107990,,Apple,m2,,8,8.0,8 ,DDR4,SSD,256.0,13.6, 2560 x 1664 ,Mac ,1.0
58,asus,Asus Zenbook 17 Fold UX9702AA-MD023WS ,329990,80.0,Intel,i7,12.0,10,16.0,16 ,LPDDR5,SSD,1024.0,17.3, 2560 x 1920 ,Windows 11 ,1.0
59,nokia,Nokia PureBook S14 NKi511TL165S ,40990,62.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,14.1, 1920 x 1080 ,Windows ,1.0
60,apple,Apple MacBook Pro 16 inch ,349900,66.0,Apple,m2,,12,32.0,32 ,Unified,SSD,1024.0,16.2, 3456 x 2234 ,Mac ,1.0
61,asus,Asus Vivobook Pro 15 OLED M6500IH-HN701WS ,59990,69.0,AMD,ryzen,4.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
62,lenovo,Lenovo IdeaPad Slim 5 82SF008YIN ,68300,66.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
63,asus,Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming ,88687,80.0,AMD,ryzen,6.0,8,16.0,16 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
64,asus,Asus VivoBook 14 X415EA-EK701WS ,56990,69.0,Intel,i7,11.0,4,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
65,asus,Asus VivoBook 15 X1500EA-EJ701W ,56490,63.0,Intel,i7,11.0,4,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
66,hp,HP 247 G8 ‎6B5R3PA ,30290,,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,D,1.0
67,asus,Asus Vivobook 15 2022 X1502ZA-EJ312WS ,42600,,Intel,i3,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
68,hp,HP Pavilion 14-dv2041TU ,71990,62.0,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
69,asus,Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming ,53990,69.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
70,asus,Asus TUF Gaming A15 FA506IHRZ-HN111W ,54589,69.0,AMD,ryzen,4.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
71,acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming ,62990,69.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
72,lenovo,Lenovo IdeaPad Slim 3 82RK0062IN ,57459,,Intel,i5,12.0,10,8.0,8 ,RAM,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
73,lenovo,Lenovo IdeaPad Slim 1 82R1004AIN ,38900,61.0,AMD,ryzen,3.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
74,msi,MSI Gaming Crosshair 15 B12UEZ-677IN ,110900,84.0,Intel,i7,12.0,14,16.0,16 ,DDR4,SSD,1024.0,15.6, 2560 x 1440 ,Windows 11 ,2.0
75,dell,Dell G15-5511 Gaming ,69790,69.0,Intel,i5,11.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
76,hp,HP Pavilion 15-eg2002TU ,70990,65.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
77,hp,HP 14s-fq1092au ,46300,65.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
78,asus,Asus VivoBook 15 X515EA-EJ322WS ,38490,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
79,hp,HP Victus 16-e0162AX Gaming ,56960,65.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,16.1, 1920 x 1080 ,Windows 10 ,1.0
80,dell,Dell Latitude 5420 ,74500,60.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,256.0,14.0, 1920 x 1080 ,Windows 10 ,1.0
81,dell,Dell Latitude 3420 ,66990,,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,Windows 10 ,1.0
82,hp,HP 14s-dq2649TU ,45890,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
83,hp,HP 247 G8 600A9PA ,32999,61.0,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
84,asus,Asus VivoBook 15 K513EP-BQ1093T ,45990,,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
85,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN ,54990,72.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
86,hp,HP 14s-dr3001TU ,26990,,Intel,pentium,,4,8.0,8 ,DDR4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
87,asus,Asus VivoBook 14 X415JA-EK522WS ,41990,60.0,Intel,i5,10.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,
88,lenovo,Lenovo E41-55 82FJ00AGIH ,18990,,AMD,athlon,,2,4.0,4 ,DDR4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
89,acer,Acer Aspire 3 A315-59 ,39990,,Intel,i3,12.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
90,lenovo,Lenovo IdeaPad Gaming 3 82K201Y9IN ,50850,73.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
91,asus,Asus VivoBook 15 X515EA-EJ522WS ,50990,61.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
92,lenovo,Lenovo IdeaPad Slim 3 82KU017EIN ,48990,65.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
93,infinix,Infinix INBook X1 Neo XL22 ,24999,,Intel,celeron,,4,8.0,8 ,LPDDR4X,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
94,hp,HP 15s-fq2671TU ,38490,,Intel,i3,,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
95,xiaomi,Xiaomi Redmi Book Pro 15 2022 ,61990,73.0,Intel,i5,12.0,8,16.0,16 ,LPDDR5,SSD,512.0,15.6, 3200 x 2000 ,Windows 10 ,1.0
96,lenovo,Lenovo IdeaPad Gaming 3 82K201ULIN ,66829,75.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
97,apple,Apple MacBook Pro 2022 ,139990,,Apple,m2,,8,8.0,8 ,RAM,SSD,512.0,13.3, 2560 x 1600 ,Mac ,1.0
98,lenovo,Lenovo Ideapad Slim 3 81WB01EBIN ,36490,60.0,Intel,i3,10.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
99,asus,Asus Vivobook S14 OLED S3402ZA-KM501WS ,74990,63.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
100,lenovo,Lenovo V15-IGL 82C3A008IH ,19990,,Intel,celeron,,2,4.0,4 ,DDR4,SSD,256.0,15.6, 1920 x 1080 ,D,1.0
101,realme,Realme Book Slim ,59990,61.0,Intel,i5,11.0,4,8.0,8 ,LPDDR4x,SSD,512.0,14.0, 1440 x 2160 ,Windows 10 ,1.0
102,samsung,Samsung Galaxy Book 2 NP550XED-KA3IN ,72990,63.0,Intel,i7,11.0,10,16.0,16 ,LPDDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
103,lenovo,Lenovo IdeaPad Gaming 3 82K1017WIN ,52900,71.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
104,hp,HP Victus 15-fa0092TX ,81990,69.0,Intel,i5,12.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
105,asus,Asus VivoBook 14 2022 X1402ZA-MW511WS ,66990,74.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
106,acer,Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming ,69990,74.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
107,acer,Acer One 14 Z2-493 ,29990,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,256.0,14.0, 1366 x 768 ,Windows 11 ,1.0
108,dell,Dell Inspiron 3525 D560789WIN9S ,49350,68.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
109,asus,Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming ,99500,76.0,Intel,i7,12.0,10,16.0,16 ,DDR5,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
110,hp,HP 15s-ey1508AU ,28450,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,256.0,15.6, 1366 x 768 ,Windows 11 ,1.0
111,asus,Asus VivoBook 15 X1500EA-EJ322WS ,35385,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
112,asus,Asus TUF Gaming F15,94990,79.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
113,acer,Acer Aspire 5 A515-57G Gaming ,59999,67.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
114,dell,Dell Inspiron 7420 D560780WIN9S ,52106,65.0,Intel,i3,12.0,6,8.0,8 ,DDR4,SSD,256.0,,,Windows 11 ,
115,hp,HP 255 G8 62Y23PA ,31990,,AMD,ryzen,3.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
116,asus,Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming ,59990,72.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
117,asus,Asus TUF Gaming F15 FX506LHB-HN355WS Gaming ,56500,63.0,Intel,i5,10.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
118,honor,Honor MagicBook X14 ,46990,63.0,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
119,dell,Dell Vostro 3510 ,42290,,Intel,i3,11.0,2,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
120,asus,Asus Vivobook 13 Slate OLED T3300KA-LQ122WS ,29990,,Intel,pentium,,4,4.0,4 ,LPDDR4X,Hard Disk,128.0,13.3, 1920 x 1080 ,Windows 11 ,1.0
121,asus,Asus VivoBook K15 OLED KM513UA-L503WS ,53990,65.0,AMD,ryzen,5.0,6,8.0,8 ,DDR4,Hard Disk,1024.0,15.6, 1920 x 1080 ,Windows 11 ,
122,hp,HP 15s-eq2143au ,38490,,AMD,ryzen,5.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows ,1.0
123,apple,Apple MacBook Pro 14 inch MKGP3HN ,171594,,Apple,m1,,8,16.0,16 ,Unified,SSD,512.0,14.2, 3024 x 1964 ,Mac ,1.0
124,asus,Asus Chromebooks C523NA-BR0300 ,16990,,Intel,celeron,,2,4.0,4 ,LPDDR4X,Hard Disk,,,,Chrome ,1.0
125,hp,HP 15s-fq2717TU ,43650,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
126,xiaomi,Xiaomi Mi Notebook Pro 14 ,57990,62.0,Intel,i5,11.0,4,16.0,16 ,DDR4,SSD,512.0,14.0, 2560 x 1600 ,Windows 10 ,1.0
127,acer,Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming ,73990,76.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
128,hp,HP Pavilion 15-eg2091TU ,74070,63.0,Intel,i5,12.0,12,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
129,asus,Asus VivoBook 15 X1500EA-EJ522WS ,46450,,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
130,hp,HP ProBook 440 G8 ,51990,,Intel,i5,,4,8.0,8 ,DDR4,SSD,512.0,14.0, 1366 x 768 ,Windows 11 ,1.0
131,hp,HP Omen 16-n0079AX Gaming ,104990,81.0,AMD,ryzen,6.0,8,16.0,16 ,DDR5,SSD,512.0,16.1, 1920 x 1080 ,Windows 11 ,1.0
132,asus,Asus Chromebook Flip C214MA-BU0704 ,15990,,Intel,celeron,,2,4.0,4 ,LPDDR4X,Hard Disk,32.0,11.6, 1366 x 768 ,Chrome ,1.0
133,lenovo,Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN ,80990,75.0,Intel,i5,12.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
134,hp,HP Pavilion 15s-FR5007TU ,62950,,Intel,i5,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
135,lenovo,Lenovo IdeaPad Flex 5 82R9008GIN ,61618,74.0,AMD,ryzen,5.0,6,16.0,16 ,DDR4,SSD,512.0,14.0, 1920 x 1200 ,Windows 11 ,1.0
136,asus,Asus Vivobook Pro 15 OLED M6500IH-L1701WS ,65990,68.0,AMD,ryzen,4.0,8,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
137,asus,Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch ,45690,,Intel,i3,12.0,10,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
138,hp,HP 14s-dy2507TU ,35990,,Intel,i3,11.0,2,8.0,8 ,DDR4,SSD,256.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
139,hp,HP Pavilion 15s-fq5112TU ,63900,,Intel,i5,12.0,10,16.0,16 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
140,asus,Asus ROG Strix G17 2022 G713IE-HX040W Gaming ,87990,75.0,AMD,ryzen,4.0,8,16.0,16 ,DDR4,SSD,1024.0,17.3, 1920 x 1080 ,Windows 11 ,1.0
141,acer,Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming ,57990,69.0,Intel,i5,12.0,12,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
142,asus,Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming ,75990,72.0,Intel,i5,12.0,8,8.0,8 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
143,infinix,Infinix INBook X1 Slim Series XL21 ,32990,,Intel,i3,10.0,2,8.0,8 ,LPDDR4X,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
144,asus,Asus Vivobook Pro 14 OLED M3400QA-KM702WS Gaming ,64990,71.0,AMD,ryzen,5.0,8,16.0,16 ,DDR4,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
145,hp,HP Pavilion 14-dv2053TU ,62250,60.0,Intel,i5,12.0,10,8.0,8 ,DDR4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
146,dell,Dell G15-5520 ,106210,75.0,Intel,i7,12.0,14,16.0,16 ,DDR5,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
147,acer,Acer Aspire 3 A315-58 ,45599,,Intel,i5,11.0,4,8.0,8 ,DDR4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
